location,date,vaccine,total_vaccinations,people_vaccinated,people_fully_vaccinated,source_url,total_boosters
Suriname,2021-04-28,Oxford/AstraZeneca,38351,38351,0,https://laatjevaccineren.sr/,
Suriname,2021-05-01,Oxford/AstraZeneca,39953,39953,0,https://laatjevaccineren.sr/,
Suriname,2021-05-04,Oxford/AstraZeneca,41287,41205,82,https://laatjevaccineren.sr/,
Suriname,2021-05-07,Oxford/AstraZeneca,43888,43636,252,https://laatjevaccineren.sr/,
Suriname,2021-05-08,Oxford/AstraZeneca,45420,44918,502,https://laatjevaccineren.sr/,
Suriname,2021-05-11,Oxford/AstraZeneca,48185,47453,732,https://laatjevaccineren.sr/,
Suriname,2021-05-13,Oxford/AstraZeneca,49902,48904,998,https://laatjevaccineren.sr/,
Suriname,2021-05-15,Oxford/AstraZeneca,51573,49961,1612,https://laatjevaccineren.sr/,
Suriname,2021-05-17,Oxford/AstraZeneca,54162,52109,2053,https://laatjevaccineren.sr/,
Suriname,2021-05-19,Oxford/AstraZeneca,57362,54837,2525,https://laatjevaccineren.sr/,
Suriname,2021-05-20,Oxford/AstraZeneca,64793,60319,4474,https://laatjevaccineren.sr/,
Suriname,2021-05-21,Oxford/AstraZeneca,68301,62862,5439,https://laatjevaccineren.sr/,
Suriname,2021-05-23,Oxford/AstraZeneca,74120,64866,9254,https://laatjevaccineren.sr/,
Suriname,2021-05-25,Oxford/AstraZeneca,76462,65675,10787,https://laatjevaccineren.sr/,
Suriname,2021-05-26,Oxford/AstraZeneca,78542,66623,11919,https://laatjevaccineren.sr/,
Suriname,2021-05-28,Oxford/AstraZeneca,80716,67472,13244,https://laatjevaccineren.sr/,
Suriname,2021-05-29,Oxford/AstraZeneca,82943,68441,14502,https://laatjevaccineren.sr/,
Suriname,2021-06-01,Oxford/AstraZeneca,85174,69226,15948,https://laatjevaccineren.sr/,
Suriname,2021-06-02,Oxford/AstraZeneca,87508,70336,17172,https://laatjevaccineren.sr/,
Suriname,2021-06-03,Oxford/AstraZeneca,90052,71396,18656,https://laatjevaccineren.sr/,
Suriname,2021-06-05,Oxford/AstraZeneca,96708,75013,21155,https://laatjevaccineren.sr/,
Suriname,2021-06-06,Oxford/AstraZeneca,102612,80816,21256,https://laatjevaccineren.sr/,
Suriname,2021-06-07,Oxford/AstraZeneca,108076,86640,21436,https://laatjevaccineren.sr/,
Suriname,2021-06-08,Oxford/AstraZeneca,110393,88708,21658,https://laatjevaccineren.sr/,
Suriname,2021-06-09,Oxford/AstraZeneca,112200,90029,22171,https://laatjevaccineren.sr/,
Suriname,2021-06-12,Oxford/AstraZeneca,127078,101781,25297,https://laatjevaccineren.sr/,
Suriname,2021-06-13,Oxford/AstraZeneca,136853,110920,25933,https://laatjevaccineren.sr/,
Suriname,2021-06-14,Oxford/AstraZeneca,144415,118124,26291,https://laatjevaccineren.sr/,
Suriname,2021-06-15,Oxford/AstraZeneca,146567,119956,26529,https://laatjevaccineren.sr/,
Suriname,2021-06-16,Oxford/AstraZeneca,155669,127363,28306,https://laatjevaccineren.sr/,
Suriname,2021-06-18,Oxford/AstraZeneca,165785,135354,30431,https://laatjevaccineren.sr/,
Suriname,2021-06-20,Oxford/AstraZeneca,175694,144662,31032,https://laatjevaccineren.sr/,
Suriname,2021-06-21,Oxford/AstraZeneca,177228,145832,31396,https://laatjevaccineren.sr/,
Suriname,2021-06-23,Oxford/AstraZeneca,182331,149697,32634,https://laatjevaccineren.sr/,
Suriname,2021-06-24,Oxford/AstraZeneca,184446,151208,33238,https://laatjevaccineren.sr/,
Suriname,2021-06-25,Oxford/AstraZeneca,187306,153121,34185,https://laatjevaccineren.sr/,
Suriname,2021-06-27,Oxford/AstraZeneca,191963,157459,34504,https://laatjevaccineren.sr/,
Suriname,2021-06-28,Oxford/AstraZeneca,192975,157982,34993,https://laatjevaccineren.sr/,
Suriname,2021-06-30,Oxford/AstraZeneca,196194,160268,35926,https://laatjevaccineren.sr/,
Suriname,2021-07-01,Oxford/AstraZeneca,197723,161525,36198,https://laatjevaccineren.sr/,
Suriname,2021-07-02,Oxford/AstraZeneca,199471,162516,36955,https://laatjevaccineren.sr/,
Suriname,2021-07-04,Oxford/AstraZeneca,201810,164396,37414,https://laatjevaccineren.sr/,
Suriname,2021-07-05,Oxford/AstraZeneca,202764,164903,37861,https://laatjevaccineren.sr/,
Suriname,2021-07-06,Oxford/AstraZeneca,203963,165456,38507,https://laatjevaccineren.sr/,
Suriname,2021-07-07,Oxford/AstraZeneca,205351,166063,39288,https://laatjevaccineren.sr/,
Suriname,2021-07-09,Oxford/AstraZeneca,208227,167560,40667,https://laatjevaccineren.sr/,
Suriname,2021-07-11,Oxford/AstraZeneca,209491,168570,40921,https://laatjevaccineren.sr/,
Suriname,2021-07-12,Oxford/AstraZeneca,215851,173978,41873,https://laatjevaccineren.sr/,
Suriname,2021-07-14,Oxford/AstraZeneca,220498,176325,44173,https://laatjevaccineren.sr/,
Suriname,2021-07-15,Oxford/AstraZeneca,222377,177146,45231,https://laatjevaccineren.sr/,
Suriname,2021-07-16,Oxford/AstraZeneca,225128,178317,46811,https://laatjevaccineren.sr/,
Suriname,2021-07-17,Oxford/AstraZeneca,226715,179523,47192,https://laatjevaccineren.sr/,
Suriname,2021-07-18,Oxford/AstraZeneca,228121,180541,47578,https://laatjevaccineren.sr/,
Suriname,2021-07-19,Oxford/AstraZeneca,229051,180632,48419,https://laatjevaccineren.sr/,
Suriname,2021-07-20,Oxford/AstraZeneca,230135,181365,48770,https://laatjevaccineren.sr/,
Suriname,2021-07-21,Oxford/AstraZeneca,231447,181869,49578,https://laatjevaccineren.sr/,
Suriname,2021-07-22,Oxford/AstraZeneca,232666,182342,50324,https://laatjevaccineren.sr/,
Suriname,2021-07-23,Oxford/AstraZeneca,234540,182951,51589,https://laatjevaccineren.sr/,
Suriname,2021-07-24,Oxford/AstraZeneca,235536,183522,52014,https://laatjevaccineren.sr/,
Suriname,2021-07-25,Oxford/AstraZeneca,236155,183785,52370,https://laatjevaccineren.sr/,
Suriname,2021-07-26,Oxford/AstraZeneca,237175,184064,53111,https://laatjevaccineren.sr/,
Suriname,2021-07-27,Oxford/AstraZeneca,239571,185077,54494,https://laatjevaccineren.sr/,
Suriname,2021-07-28,Oxford/AstraZeneca,241435,185653,55782,https://laatjevaccineren.sr/,
Suriname,2021-07-29,Oxford/AstraZeneca,242696,186012,56684,https://laatjevaccineren.sr/,
Suriname,2021-07-30,Oxford/AstraZeneca,244378,186297,58081,https://laatjevaccineren.sr/,
Suriname,2021-07-31,Oxford/AstraZeneca,245971,,,https://laatjevaccineren.sr/,
Suriname,2021-08-01,Oxford/AstraZeneca,246782,187094,59688,https://laatjevaccineren.sr/,
Suriname,2021-08-02,Oxford/AstraZeneca,248618,187405,61213,https://laatjevaccineren.sr/,
Suriname,2021-08-03,Oxford/AstraZeneca,251105,187887,63218,https://laatjevaccineren.sr/,
Suriname,2021-08-04,Oxford/AstraZeneca,253387,188207,65180,https://laatjevaccineren.sr/,
Suriname,2021-08-05,Oxford/AstraZeneca,255212,188595,66617,https://laatjevaccineren.sr/,
Suriname,2021-08-06,Oxford/AstraZeneca,255396,188685,66711,https://laatjevaccineren.sr/,
Suriname,2021-08-07,Oxford/AstraZeneca,257859,189261,68598,https://laatjevaccineren.sr/,
Suriname,2021-08-08,Oxford/AstraZeneca,261398,190027,71371,https://laatjevaccineren.sr/,
Suriname,2021-08-09,Oxford/AstraZeneca,263823,190398,73425,https://laatjevaccineren.sr/,
Suriname,2021-08-10,Oxford/AstraZeneca,265159,190989,74170,https://laatjevaccineren.sr/,
Suriname,2021-08-11,Oxford/AstraZeneca,266669,191342,75327,https://laatjevaccineren.sr/,
Suriname,2021-08-12,Oxford/AstraZeneca,267988,191609,76379,https://laatjevaccineren.sr/,
Suriname,2021-08-13,Oxford/AstraZeneca,271668,192235,79433,https://laatjevaccineren.sr/,
Suriname,2021-08-14,Oxford/AstraZeneca,275723,192963,82760,https://laatjevaccineren.sr/,
Suriname,2021-08-15,Oxford/AstraZeneca,278083,193210,84873,https://laatjevaccineren.sr/,
Suriname,2021-08-16,Oxford/AstraZeneca,280453,193505,86948,https://laatjevaccineren.sr/,
Suriname,2021-08-17,Oxford/AstraZeneca,283289,194054,89235,https://laatjevaccineren.sr/,
Suriname,2021-08-18,Oxford/AstraZeneca,285217,194371,90846,https://laatjevaccineren.sr/,
Suriname,2021-08-19,Oxford/AstraZeneca,288230,194779,93451,https://laatjevaccineren.sr/,
Suriname,2021-08-20,Oxford/AstraZeneca,292810,195367,97443,https://laatjevaccineren.sr/,
Suriname,2021-08-21,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",299732,196031,103701,https://laatjevaccineren.sr/,
Suriname,2021-08-22,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",300350,196628,103722,https://laatjevaccineren.sr/,
Suriname,2021-08-23,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",308457,197438,111019,https://laatjevaccineren.sr/,
Suriname,2021-08-24,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",312646,198011,114635,https://laatjevaccineren.sr/,
Suriname,2021-08-25,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",314963,198375,116588,https://laatjevaccineren.sr/,
Suriname,2021-08-26,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",319815,198729,121086,https://laatjevaccineren.sr/,
Suriname,2021-08-27,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",323644,199109,124535,https://laatjevaccineren.sr/,
Suriname,2021-08-28,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",328536,199496,129040,https://laatjevaccineren.sr/,
Suriname,2021-08-29,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",333028,201209,131819,https://laatjevaccineren.sr/,
Suriname,2021-08-30,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",334856,201756,133100,https://laatjevaccineren.sr/,
Suriname,2021-08-31,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",337124,202440,134684,https://laatjevaccineren.sr/,
Suriname,2021-09-01,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",340023,203156,136867,https://laatjevaccineren.sr/,
Suriname,2021-09-02,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",342767,203858,138909,https://laatjevaccineren.sr/,
Suriname,2021-09-03,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",345869,204873,140996,https://laatjevaccineren.sr/,
Suriname,2021-09-04,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",349172,205933,143239,https://laatjevaccineren.sr/,
Suriname,2021-09-05,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",351610,206440,145170,https://laatjevaccineren.sr/,
Suriname,2021-09-06,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",353646,207140,146506,https://laatjevaccineren.sr/,
Suriname,2021-09-07,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",356563,207909,148654,https://laatjevaccineren.sr/,
Suriname,2021-09-08,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",359651,209244,150407,https://laatjevaccineren.sr/,
Suriname,2021-09-09,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",361815,210235,151580,https://laatjevaccineren.sr/,
Suriname,2021-09-10,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",364432,211291,153141,https://laatjevaccineren.sr/,
Suriname,2021-09-11,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",364994,211518,153476,https://laatjevaccineren.sr/,
Suriname,2021-09-12,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",366805,212346,154459,https://laatjevaccineren.sr/,
Suriname,2021-09-13,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",368566,213095,155471,https://laatjevaccineren.sr/,
Suriname,2021-09-14,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",370497,214066,156431,https://laatjevaccineren.sr/,
Suriname,2021-09-15,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",372429,214886,157543,https://laatjevaccineren.sr/,
Suriname,2021-09-16,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",376042,216536,159506,https://laatjevaccineren.sr/,
Suriname,2021-09-17,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",376605,216889,159716,https://laatjevaccineren.sr/,
Suriname,2021-09-19,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",378161,217777,160384,https://laatjevaccineren.sr/,
Suriname,2021-09-20,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",378571,217907,160664,https://laatjevaccineren.sr/,
Suriname,2021-09-21,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",382946,220181,162765,https://laatjevaccineren.sr/,
Suriname,2021-09-22,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",385425,221284,164141,https://laatjevaccineren.sr/,
Suriname,2021-09-23,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",387552,222408,165144,https://laatjevaccineren.sr/,
Suriname,2021-09-24,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",390681,223898,166783,https://laatjevaccineren.sr/,
Suriname,2021-09-25,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",391985,224646,167339,https://laatjevaccineren.sr/,
Suriname,2021-09-27,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",394029,225526,168503,https://laatjevaccineren.sr/,
Suriname,2021-09-28,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",396230,226711,169519,https://laatjevaccineren.sr/,
Suriname,2021-09-29,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",397606,227418,170188,https://laatjevaccineren.sr/,
Suriname,2021-09-30,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",401242,229022,172220,https://laatjevaccineren.sr/,
Suriname,2021-10-01,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",403454,230110,173344,https://laatjevaccineren.sr/,
Suriname,2021-10-02,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",403676,230230,173446,https://laatjevaccineren.sr/,
Suriname,2021-10-04,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",406022,231580,174442,https://laatjevaccineren.sr/,
Suriname,2021-10-05,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",408359,232805,175554,https://laatjevaccineren.sr/,
Suriname,2021-10-06,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",410397,233818,176579,https://laatjevaccineren.sr/,
Suriname,2021-10-07,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",412588,235011,177577,https://laatjevaccineren.sr/,
Suriname,2021-10-08,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",414312,235849,178463,https://laatjevaccineren.sr/,
Suriname,2021-10-09,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",415053,236318,178735,https://laatjevaccineren.sr/,
Suriname,2021-10-10,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",417831,237707,180124,https://laatjevaccineren.sr/,
