Country,Year,num_sequences,variant_dominant,num_sequences_per_1M,num_sequences_cumulative,num_sequences_cumulative_per_1M
Austria,335,45,Others,4.98,875,96.77
Austria,349,451,Others,49.87,1326,146.64
Austria,370,250,Alpha,27.65,1576,174.29
Austria,384,385,Others,42.57,1961,216.86
Austria,398,415,Alpha,45.89,2376,262.75
Austria,412,464,Alpha,51.31,2840,314.06
Austria,426,568,Alpha,62.81,3408,376.87
Austria,440,291,Alpha,32.18,3699,409.05
Austria,454,353,Alpha,39.04,4052,448.09
Austria,468,329,Alpha,36.38,4381,484.47
Austria,482,619,Alpha,68.45,5000,552.92
Austria,496,389,Alpha,43.02,5389,595.94
Austria,510,398,Alpha,44.01,5787,639.95
Austria,524,750,Delta,82.94,6537,722.89
Austria,538,505,Delta,55.84,7042,778.73
Austria,552,771,Delta,85.26,7813,863.99
Austria,566,623,Delta,68.89,8436,932.88
Austria,580,623,Delta,68.89,9059,1001.77
Austria,594,585,Delta,64.69,9644,1066.46
Austria,608,513,Delta,56.73,10157,1123.19
Austria,622,444,Delta,49.1,10601,1172.29
Austria,636,437,Delta,48.32,11038,1220.61
Austria,650,634,Delta,70.11,11672,1290.72
Austria,664,561,Delta,62.04,12233,1352.76
Austria,678,165,Delta,18.25,12398,1371.01
Austria,692,183,Delta,20.24,12581,1391.25
Bahrain,139,1,0,0.57,1,0.57
Bahrain,153,2,0,1.14,3,1.71
Bahrain,167,11,0,6.29,14,8.0
Bahrain,195,3,0,1.72,17,9.72
Bahrain,223,3,0,1.72,20,11.44
Bahrain,237,2,0,1.14,22,12.58
Bahrain,251,2,0,1.14,24,13.72
Bahrain,265,10,0,5.72,34,19.44
Bahrain,279,45,Others,25.74,79,45.18
Bahrain,293,6,0,3.43,85,48.61
Bahrain,307,38,Others,21.74,123,70.35
Bahrain,384,1,0,0.57,124,70.92
Bahrain,398,2,0,1.14,126,72.06
Bahrain,426,7,0,4.0,133,76.06
Bahrain,440,2,0,1.14,135,77.2
Bahrain,454,42,Delta,24.02,177,101.22
Bahrain,468,9,0,5.15,186,106.37
Bahrain,482,57,Delta,32.6,243,138.97
Bahrain,496,46,Delta,26.31,289,165.28
Bahrain,510,24,0,13.73,313,179.01
Bahrain,524,84,Delta,48.05,397,227.06
Bahrain,538,69,Delta,39.47,466,266.53
Bahrain,552,106,Delta,60.63,572,327.16
Bahrain,566,48,Delta,27.46,620,354.62
Bahrain,594,227,Delta,129.84,847,484.46
Bahrain,622,186,Delta,106.39,1033,590.85
Bahrain,636,372,Delta,212.78,1405,803.63
Bahrain,650,467,Delta,267.12,1872,1070.75
Bahrain,664,370,Delta,211.63,2242,1282.38
Bangladesh,111,124,Others,0.75,124,0.75
Bangladesh,125,168,Others,1.01,292,1.76
Bangladesh,139,69,Others,0.41,361,2.17
Bangladesh,153,111,Others,0.67,472,2.84
Bangladesh,167,175,Others,1.05,647,3.89
Bangladesh,181,139,Others,0.84,786,4.73
Bangladesh,195,66,Others,0.4,852,5.13
Bangladesh,209,26,0,0.16,878,5.29
Bangladesh,223,25,0,0.15,903,5.44
Bangladesh,237,35,Others,0.21,938,5.65
Bangladesh,251,8,0,0.05,946,5.7
Bangladesh,265,20,0,0.12,966,5.82
Bangladesh,279,15,0,0.09,981,5.91
Bangladesh,293,27,0,0.16,1008,6.07
Bangladesh,307,30,Others,0.18,1038,6.25
Bangladesh,321,57,Others,0.34,1095,6.59
Bangladesh,335,25,0,0.15,1120,6.74
Bangladesh,349,68,Others,0.41,1188,7.15
Bangladesh,370,62,Others,0.37,1250,7.52
Bangladesh,384,42,Others,0.25,1292,7.77
Bangladesh,398,36,Others,0.22,1328,7.99
Bangladesh,412,14,0,0.08,1342,8.07
Bangladesh,426,156,Beta,0.94,1498,9.01
Bangladesh,440,87,Beta,0.52,1585,9.53
Bangladesh,454,131,Beta,0.79,1716,10.32
Bangladesh,468,56,Beta,0.34,1772,10.66
Bangladesh,482,58,Beta,0.35,1830,11.01
Bangladesh,496,99,Beta,0.6,1929,11.61
Bangladesh,510,69,Delta,0.41,1998,12.02
Bangladesh,524,112,Delta,0.67,2110,12.69
Bangladesh,538,244,Delta,1.47,2354,14.16
Bangladesh,552,184,Delta,1.11,2538,15.27
Bangladesh,566,238,Delta,1.43,2776,16.7
Bangladesh,580,195,Delta,1.17,2971,17.87
Bangladesh,594,165,Delta,0.99,3136,18.86
Bangladesh,608,146,Delta,0.88,3282,19.74
Bangladesh,622,97,Delta,0.58,3379,20.32
Bangladesh,636,136,Delta,0.82,3515,21.14
Bangladesh,650,94,Delta,0.57,3609,21.71
Bangladesh,664,118,Delta,0.71,3727,22.42
Bangladesh,678,117,Delta,0.7,3844,23.12
Bangladesh,692,144,Delta,0.87,3988,23.99
Bangladesh,706,63,Delta,0.38,4051,24.37
Bangladesh,720,32,Omicron,0.19,4083,24.56
Belgium,111,134,Others,11.52,134,11.52
Belgium,125,67,Others,5.76,201,17.28
Belgium,139,15,0,1.29,216,18.57
Belgium,153,38,Others,3.27,254,21.84
Belgium,167,39,Others,3.35,293,25.19
Belgium,181,39,Others,3.35,332,28.54
Belgium,195,146,Others,12.55,478,41.09
Belgium,209,130,Others,11.18,608,52.27
Belgium,223,54,Others,4.64,662,56.91
Belgium,237,87,Others,7.48,749,64.39
Belgium,251,246,Others,21.15,995,85.54
Belgium,265,130,Others,11.18,1125,96.72
Belgium,279,363,Others,31.21,1488,127.93
Belgium,293,204,Others,17.54,1692,145.47
Belgium,307,241,Others,20.72,1933,166.19
Belgium,321,148,Others,12.72,2081,178.91
Belgium,335,347,Others,29.83,2428,208.74
Belgium,349,535,Others,45.99,2963,254.73
Belgium,370,1380,Others,118.63,4343,373.36
Belgium,384,1825,Others,156.89,6168,530.25
Belgium,398,1809,Alpha,155.51,7977,685.76
Belgium,412,2237,Alpha,192.31,10214,878.07
Belgium,426,2935,Alpha,252.31,13149,1130.38
Belgium,440,3438,Alpha,295.56,16587,1425.94
Belgium,454,2911,Alpha,250.25,19498,1676.19
Belgium,468,3338,Alpha,286.96,22836,1963.15
Belgium,482,3108,Alpha,267.19,25944,2230.34
Belgium,496,2952,Alpha,253.78,28896,2484.12
Belgium,510,1995,Alpha,171.5,30891,2655.62
Belgium,524,1181,Alpha,101.53,32072,2757.15
Belgium,538,2640,Delta,226.95,34712,2984.1
Belgium,552,3960,Delta,340.43,38672,3324.53
Belgium,566,4006,Delta,344.38,42678,3668.91
Belgium,580,4534,Delta,389.78,47212,4058.69
Belgium,594,4495,Delta,386.42,51707,4445.11
Belgium,608,3113,Delta,267.62,54820,4712.73
Belgium,622,2926,Delta,251.54,57746,4964.27
Belgium,636,3315,Delta,284.98,61061,5249.25
Belgium,650,3573,Delta,307.16,64634,5556.41
Belgium,664,2829,Delta,243.2,67463,5799.61
Belgium,678,3247,Delta,279.14,70710,6078.75
Belgium,692,3602,Delta,309.65,74312,6388.4
Belgium,706,2398,Delta,206.15,76710,6594.55
Belgium,720,1575,Omicron,135.4,78285,6729.95
Belgium,727,132,Omicron,11.35,78417,6741.3
Belize,209,4,0,9.88,4,9.88
Belize,223,1,0,2.47,5,12.35
Belize,251,2,0,4.94,7,17.29
Belize,265,4,0,9.88,11,27.17
Belize,279,6,0,14.82,17,41.99
Belize,293,1,0,2.47,18,44.46
Belize,335,7,0,17.29,25,61.75
Belize,349,21,0,51.86,46,113.61
Belize,370,16,0,39.51,62,153.12
Belize,384,26,0,64.21,88,217.33
Belize,398,11,0,27.17,99,244.5
Belize,412,3,0,7.41,102,251.91
Belize,426,2,0,4.94,104,256.85
Belize,454,3,0,7.41,107,264.26
Belize,468,1,0,2.47,108,266.73
Belize,482,15,0,37.04,123,303.77
Belize,496,3,0,7.41,126,311.18
Belize,510,1,0,2.47,127,313.65
Belize,524,32,Alpha,79.03,159,392.68
Belize,538,18,0,44.45,177,437.13
Belize,552,58,Delta,143.24,235,580.37
Belize,566,63,Delta,155.59,298,735.96
Belize,580,16,0,39.51,314,775.47
Benin,384,109,Eta,8.75,109,8.75
Benin,412,121,Eta,9.72,230,18.47
Benin,440,176,Eta,14.14,406,32.61
Benin,454,8,0,0.64,414,33.25
Benin,468,25,0,2.01,439,35.26
Benin,482,32,Others,2.57,471,37.83
Benin,496,27,0,2.17,498,40.0
Benin,510,9,0,0.72,507,40.72
Benin,524,14,0,1.12,521,41.84
Benin,538,28,0,2.25,549,44.09
Benin,552,36,Delta,2.89,585,46.98
Benin,566,34,Delta,2.73,619,49.71
Benin,580,74,Delta,5.94,693,55.65
Benin,594,57,Delta,4.58,750,60.23
Bosnia and Herzegovina,111,1,0,0.31,1,0.31
Bosnia and Herzegovina,139,2,0,0.61,3,0.92
Bosnia and Herzegovina,181,1,0,0.31,4,1.23
Bosnia and Herzegovina,223,1,0,0.31,5,1.54
Bosnia and Herzegovina,237,1,0,0.31,6,1.85
Bosnia and Herzegovina,251,1,0,0.31,7,2.16
Bosnia and Herzegovina,265,1,0,0.31,8,2.47
Bosnia and Herzegovina,293,2,0,0.61,10,3.08
Bosnia and Herzegovina,307,2,0,0.61,12,3.69
Bosnia and Herzegovina,321,3,0,0.92,15,4.61
Bosnia and Herzegovina,335,1,0,0.31,16,4.92
Bosnia and Herzegovina,349,7,0,2.14,23,7.06
Bosnia and Herzegovina,370,12,0,3.68,35,10.74
Bosnia and Herzegovina,384,5,0,1.53,40,12.27
Bosnia and Herzegovina,398,11,0,3.37,51,15.64
Bosnia and Herzegovina,412,16,0,4.9,67,20.54
Bosnia and Herzegovina,426,9,0,2.76,76,23.3
Bosnia and Herzegovina,440,3,0,0.92,79,24.22
Bosnia and Herzegovina,454,17,0,5.21,96,29.43
Bosnia and Herzegovina,482,2,0,0.61,98,30.04
Bosnia and Herzegovina,496,1,0,0.31,99,30.35
Bosnia and Herzegovina,510,23,0,7.05,122,37.4
Bosnia and Herzegovina,524,16,0,4.9,138,42.3
Bosnia and Herzegovina,538,21,0,6.43,159,48.73
Bosnia and Herzegovina,552,12,0,3.68,171,52.41
Bosnia and Herzegovina,566,9,0,2.76,180,55.17
Bosnia and Herzegovina,580,7,0,2.14,187,57.31
Bosnia and Herzegovina,594,1,0,0.31,188,57.62
Bosnia and Herzegovina,608,2,0,0.61,190,58.23
Bosnia and Herzegovina,622,42,Delta,12.87,232,71.1
Bosnia and Herzegovina,636,184,Delta,56.38,416,127.48
Bosnia and Herzegovina,650,124,Delta,38.0,540,165.48
Bosnia and Herzegovina,664,164,Delta,50.25,704,215.73
Bosnia and Herzegovina,678,123,Delta,37.69,827,253.42
Bosnia and Herzegovina,692,198,Delta,60.67,1025,314.09
Bosnia and Herzegovina,706,54,Delta,16.55,1079,330.64
Bosnia and Herzegovina,720,23,0,7.05,1102,337.69
Botswana,237,1,0,0.42,1,0.42
Botswana,251,10,0,4.17,11,4.59
Botswana,265,6,0,2.5,17,7.09
Botswana,279,6,0,2.5,23,9.59
Botswana,293,6,0,2.5,29,12.09
Botswana,307,8,0,3.34,37,15.43
Botswana,321,10,0,4.17,47,19.6
Botswana,335,17,0,7.09,64,26.69
Botswana,349,19,0,7.93,83,34.62
Botswana,370,66,Beta,27.53,149,62.15
Botswana,384,29,0,12.1,178,74.25
Botswana,398,10,0,4.17,188,78.42
Botswana,412,11,0,4.59,199,83.01
Botswana,426,64,Beta,26.7,263,109.71
Botswana,440,7,0,2.92,270,112.63
Botswana,468,7,0,2.92,277,115.55
Botswana,482,19,0,7.93,296,123.48
Botswana,496,48,Beta,20.02,344,143.5
Botswana,510,102,Beta,42.55,446,186.05
Botswana,524,196,Delta,81.76,642,267.81
Botswana,538,106,Delta,44.22,748,312.03
Botswana,552,68,Delta,28.37,816,340.4
Botswana,566,38,Delta,15.85,854,356.25
Botswana,580,82,Delta,34.21,936,390.46
Botswana,594,294,Delta,122.64,1230,513.1
Botswana,608,112,Delta,46.72,1342,559.82
Botswana,622,58,Delta,24.19,1400,584.01
Botswana,636,92,Delta,38.38,1492,622.39
Botswana,650,53,Delta,22.11,1545,644.5
Botswana,664,116,Delta,48.39,1661,692.89
Botswana,678,124,Delta,51.73,1785,744.62
Botswana,692,277,Omicron,115.55,2062,860.17
Botswana,706,291,Omicron,121.39,2353,981.56
Botswana,720,238,Omicron,99.28,2591,1080.84
Brazil,111,311,Others,1.45,311,1.45
Brazil,125,183,Others,0.86,494,2.31
Brazil,139,194,Others,0.91,688,3.22
Brazil,153,179,Others,0.84,867,4.06
Brazil,167,296,Others,1.38,1163,5.44
Brazil,181,168,Others,0.79,1331,6.23
Brazil,195,224,Others,1.05,1555,7.28
Brazil,209,231,Others,1.08,1786,8.36
Brazil,223,157,Others,0.73,1943,9.09
Brazil,237,221,Others,1.03,2164,10.12
Brazil,251,195,Others,0.91,2359,11.03
Brazil,265,196,Others,0.92,2555,11.95
Brazil,279,202,Others,0.94,2757,12.89
Brazil,293,238,Others,1.11,2995,14.0
Brazil,307,361,Others,1.69,3356,15.69
Brazil,321,514,Others,2.4,3870,18.09
Brazil,335,469,Others,2.19,4339,20.28
Brazil,349,1088,Others,5.08,5427,25.36
Brazil,370,888,Others,4.15,6315,29.51
Brazil,384,991,Others,4.63,7306,34.14
Brazil,398,1272,Gamma,5.94,8578,40.08
Brazil,412,1817,Gamma,8.49,10395,48.57
Brazil,426,1937,Gamma,9.05,12332,57.62
Brazil,440,2799,Gamma,13.08,15131,70.7
Brazil,454,3792,Gamma,17.72,18923,88.42
Brazil,468,3806,Gamma,17.79,22729,106.21
Brazil,482,3253,Gamma,15.2,25982,121.41
Brazil,496,4219,Gamma,19.72,30201,141.13
Brazil,510,5234,Gamma,24.46,35435,165.59
Brazil,524,4475,Gamma,20.91,39910,186.5
Brazil,538,5607,Gamma,26.2,45517,212.7
Brazil,552,5415,Gamma,25.3,50932,238.0
Brazil,566,5244,Gamma,24.51,56176,262.51
Brazil,580,4134,Delta,19.32,60310,281.83
Brazil,594,5475,Delta,25.58,65785,307.41
Brazil,608,5746,Delta,26.85,71531,334.26
Brazil,622,4690,Delta,21.92,76221,356.18
Brazil,636,4694,Delta,21.94,80915,378.12
Brazil,650,3379,Delta,15.79,84294,393.91
Brazil,664,3040,Delta,14.21,87334,408.12
Brazil,678,2788,Delta,13.03,90122,421.15
Brazil,692,1644,Delta,7.68,91766,428.83
Brazil,706,1469,Delta,6.86,93235,435.69
Brazil,720,1158,Omicron,5.41,94393,441.1
Brunei,349,2,0,4.53,2,4.53
Brunei,370,1,0,2.26,3,6.79
Brunei,384,2,0,4.53,5,11.32
Brunei,552,16,0,36.24,21,47.56
Brunei,580,12,0,27.18,33,74.74
Brunei,650,12,0,27.18,45,101.92
Brunei,664,119,Delta,269.52,164,371.44
Brunei,678,151,Delta,341.99,315,713.43
Brunei,692,140,Delta,317.08,455,1030.51
Brunei,706,27,0,61.15,482,1091.66
Bulgaria,111,3,0,0.43,3,0.43
Bulgaria,125,3,0,0.43,6,0.86
Bulgaria,181,1,0,0.14,7,1.0
Bulgaria,195,1,0,0.14,8,1.14
Bulgaria,209,6,0,0.87,14,2.01
Bulgaria,223,3,0,0.43,17,2.44
Bulgaria,237,5,0,0.72,22,3.16
Bulgaria,251,4,0,0.58,26,3.74
Bulgaria,265,2,0,0.29,28,4.03
Bulgaria,279,2,0,0.29,30,4.32
Bulgaria,293,5,0,0.72,35,5.04
Bulgaria,307,5,0,0.72,40,5.76
Bulgaria,321,7,0,1.01,47,6.77
Bulgaria,335,50,Others,7.25,97,14.02
Bulgaria,349,95,Others,13.77,192,27.79
Bulgaria,370,92,Alpha,13.34,284,41.13
Bulgaria,384,220,Alpha,31.9,504,73.03
Bulgaria,398,251,Alpha,36.39,755,109.42
Bulgaria,412,407,Alpha,59.01,1162,168.43
Bulgaria,426,630,Alpha,91.35,1792,259.78
Bulgaria,440,557,Alpha,80.76,2349,340.54
Bulgaria,454,371,Alpha,53.79,2720,394.33
Bulgaria,468,253,Alpha,36.68,2973,431.01
Bulgaria,482,118,Alpha,17.11,3091,448.12
Bulgaria,496,38,Alpha,5.51,3129,453.63
Bulgaria,510,103,Alpha,14.93,3232,468.56
Bulgaria,524,125,Alpha,18.12,3357,486.68
Bulgaria,538,176,Delta,25.52,3533,512.2
Bulgaria,552,239,Delta,34.65,3772,546.85
Bulgaria,566,494,Delta,71.63,4266,618.48
Bulgaria,580,798,Delta,115.71,5064,734.19
Bulgaria,594,863,Delta,125.13,5927,859.32
Bulgaria,608,739,Delta,107.15,6666,966.47
Bulgaria,622,881,Delta,127.74,7547,1094.21
Bulgaria,636,1001,Delta,145.14,8548,1239.35
Bulgaria,650,1034,Delta,149.93,9582,1389.28
Bulgaria,664,946,Delta,137.17,10528,1526.45
Bulgaria,678,873,Delta,126.58,11401,1653.03
Bulgaria,692,549,Delta,79.6,11950,1732.63
Bulgaria,706,98,Delta,14.21,12048,1746.84
Bulgaria,720,46,Omicron,6.67,12094,1753.51
Cambodia,293,2,0,0.12,2,0.12
Cambodia,307,4,0,0.24,6,0.36
Cambodia,321,15,0,0.89,21,1.25
Cambodia,335,1,0,0.06,22,1.31
Cambodia,349,5,0,0.3,27,1.61
Cambodia,370,2,0,0.12,29,1.73
Cambodia,384,3,0,0.18,32,1.91
Cambodia,398,12,0,0.71,44,2.62
Cambodia,412,14,0,0.83,58,3.45
Cambodia,426,13,0,0.77,71,4.22
Cambodia,440,3,0,0.18,74,4.4
Cambodia,454,39,Alpha,2.3,113,6.7
Cambodia,468,56,Alpha,3.3,169,10.0
Cambodia,482,52,Alpha,3.07,221,13.07
Cambodia,496,69,Alpha,4.07,290,17.14
Cambodia,510,76,Alpha,4.48,366,21.62
Cambodia,524,94,Alpha,5.55,460,27.17
Cambodia,538,81,Alpha,4.78,541,31.95
Cambodia,552,121,Alpha,7.14,662,39.09
Cambodia,566,87,Delta,5.13,749,44.22
Cambodia,580,106,Alpha,6.25,855,50.47
Cambodia,594,96,Alpha,5.66,951,56.13
Cambodia,608,132,Alpha,7.79,1083,63.92
Cambodia,622,107,Delta,6.31,1190,70.23
Cambodia,636,135,Delta,7.97,1325,78.2
Cambodia,650,135,Delta,7.97,1460,86.17
Cambodia,664,143,Delta,8.44,1603,94.61
Cambodia,678,149,Delta,8.79,1752,103.4
Cambodia,692,130,Delta,7.67,1882,111.07
Cambodia,706,104,Delta,6.14,1986,117.21
Cambodia,720,36,Omicron,2.12,2022,119.33
Cameroon,111,4,0,0.15,4,0.15
Cameroon,125,8,0,0.29,12,0.44
Cameroon,153,4,0,0.15,16,0.59
Cameroon,209,2,0,0.07,18,0.66
Cameroon,279,1,0,0.04,19,0.7
Cameroon,293,4,0,0.15,23,0.85
Cameroon,307,7,0,0.26,30,1.11
Cameroon,321,2,0,0.07,32,1.18
Cameroon,335,4,0,0.15,36,1.33
Cameroon,349,32,Others,1.18,68,2.51
Cameroon,370,23,0,0.84,91,3.35
Cameroon,384,52,Others,1.91,143,5.26
Cameroon,398,19,0,0.7,162,5.96
Cameroon,412,28,0,1.03,190,6.99
Cameroon,426,5,0,0.18,195,7.17
Cameroon,454,7,0,0.26,202,7.43
Cameroon,524,1,0,0.04,203,7.47
Cameroon,538,2,0,0.07,205,7.54
Cameroon,552,4,0,0.15,209,7.69
Cameroon,566,3,0,0.11,212,7.8
Cameroon,580,57,Delta,2.09,269,9.89
Cameroon,594,116,Delta,4.26,385,14.15
Cameroon,608,106,Delta,3.89,491,18.04
Cameroon,622,54,Delta,1.98,545,20.02
Canada,111,939,Others,24.67,939,24.67
Canada,125,619,Others,16.26,1558,40.93
Canada,139,213,Others,5.6,1771,46.53
Canada,153,203,Others,5.33,1974,51.86
Canada,167,107,Others,2.81,2081,54.67
Canada,181,204,Others,5.36,2285,60.03
Canada,195,295,Others,7.75,2580,67.78
Canada,209,586,Others,15.39,3166,83.17
Canada,223,737,Others,19.36,3903,102.53
Canada,237,728,Others,19.12,4631,121.65
Canada,251,758,Others,19.91,5389,141.56
Canada,265,1061,Others,27.87,6450,169.43
Canada,279,1096,Others,28.79,7546,198.22
Canada,293,1442,Others,37.88,8988,236.1
Canada,307,1937,Others,50.88,10925,286.98
Canada,321,2316,Others,60.84,13241,347.82
Canada,335,2431,Others,63.86,15672,411.68
Canada,349,4606,Others,120.99,20278,532.67
Canada,370,4590,Others,120.57,24868,653.24
Canada,384,3055,Others,80.25,27923,733.49
Canada,398,4015,Others,105.47,31938,838.96
Canada,412,4601,Others,120.86,36539,959.82
Canada,426,7203,Alpha,189.21,43742,1149.03
Canada,440,9830,Alpha,258.22,53572,1407.25
