date,total_vaccinations,people_fully_vaccinated,people_vaccinated,total_boosters,location,source_url,vaccine
2021-02-05,35676,7594,28082,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Pfizer/BioNTech"
2021-02-06,37586,8749,28837,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Pfizer/BioNTech"
2021-02-07,39257,9918,29339,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Pfizer/BioNTech"
2021-02-08,41285,11050,30235,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Pfizer/BioNTech"
2021-02-09,43337,12135,31202,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Pfizer/BioNTech"
2021-02-10,44598,12928,31670,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-11,46344,13820,32524,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-12,48474,14739,33735,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-13,50175,15601,34574,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-14,51641,16265,35376,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-15,53647,17102,36545,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-16,55709,17843,37866,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-17,57683,18536,39147,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-18,59702,19199,40503,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-19,62059,19828,42231,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-20,63308,20189,43119,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-21,64419,20531,43888,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-22,66334,21160,45174,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-23,68779,21767,47012,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-24,71562,22501,49061,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-25,73644,23395,50249,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-26,76159,25118,51041,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-27,77967,26781,51186,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-28,79624,28048,51576,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-01,81883,29021,52862,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-02,84129,29748,54381,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-03,86854,30329,56525,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-04,89946,31034,58912,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-05,92806,31710,61096,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-06,95899,32420,63479,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-07,97864,32862,65002,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-08,101776,34181,67595,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-09,105416,35093,70323,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-10,108971,36246,72725,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-11,113258,37182,76076,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-12,117121,38333,78788,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-13,120073,39099,80974,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-14,122366,39695,82671,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-15,126277,40681,85596,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-16,130861,40859,90002,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-17,133871,41621,92250,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-18,138264,42557,95707,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-19,140331,43267,97064,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-20,143169,43919,99250,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-21,145934,44483,101451,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-22,150897,45286,105611,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-23,155678,46140,109538,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-24,160260,47081,113179,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-25,166104,48933,117171,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-26,171873,50050,121823,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-27,176612,50557,126055,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-28,180587,51237,129350,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-29,186111,52340,133771,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-30,191716,53540,138176,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-03-31,197383,54578,142805,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-04-01,203553,55597,147956,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-04-02,209065,57123,151942,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-04-03,212466,58004,154462,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-04-04,215700,59032,156668,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-04-05,219161,60096,159065,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-04-06,223020,61111,161909,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-04-07,227606,63114,164492,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-04-08,232335,65205,167130,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-04-09,237806,67491,170315,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-04-10,240984,69306,171678,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-04-11,244718,71481,173237,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-04-12,249400,74053,175347,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-04-13,254885,76593,178292,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-04-14,259272,78139,181133,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-04-15,264658,80671,183987,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-04-16,269763,82486,187277,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-04-17,274641,84152,190489,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-04-18,276516,84933,191583,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-04-19,282841,87770,195071,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-04-20,288797,90173,198624,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-04-21,295587,93727,201860,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-04-22,301594,96631,204963,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-04-23,307636,98677,208959,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-04-24,311559,99574,211985,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-04-25,313279,100686,212593,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-04-26,318706,102535,216171,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-04-27,323324,103882,219442,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-04-28,326934,104464,222470,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-04-29,331438,105628,225810,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-04-30,335848,107038,228810,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-05-01,339727,108216,231511,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-05-02,341909,108716,233193,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-05-03,346951,109933,237018,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-05-04,352421,111318,241103,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-05-05,359429,112731,246698,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-05-06,365902,115333,251787,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-05-07,372620,118209,255633,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-05-08,375986,119427,257781,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-05-09,379951,121185,258766,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-05-10,386760,123843,265361,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-05-11,392929,127255,268118,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-05-12,400118,130537,272025,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-05-13,406921,133332,276041,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-05-14,414632,136975,280134,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-05-15,420815,141143,283229,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-05-16,424325,143487,284395,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-05-17,430508,147667,286709,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-05-18,437654,152581,289855,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-05-19,445830,158489,293178,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-05-20,453711,164113,296548,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-05-21,461215,169177,299549,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-05-22,468829,175246,301274,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-05-23,474475,180243,302933,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-05-24,482577,183556,308002,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-05-25,490524,189055,310403,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-05-26,498726,195856,311903,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-05-27,505100,200199,314030,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-05-28,509312,202795,315748,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-05-29,512214,205221,316224,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-05-30,515662,208118,316747,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-05-31,519994,210486,318743,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-06-01,528592,218321,319574,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-06-02,534639,221595,322359,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-06-03,541178,226341,324295,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-06-04,546637,230594,325511,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-06-05,551494,233826,327155,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-06-06,553814,235133,328168,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-06-07,558320,238807,329000,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-06-08,564718,243252,330970,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-06-09,570513,246964,333197,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-06-10,576256,251553,334367,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-06-11,582206,256079,335791,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-06-12,587160,258929,339176,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-06-13,589507,260424,340028,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-06-14,596074,265090,341941,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-06-15,604033,270754,344272,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-06-16,609867,274321,346576,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-06-17,616102,278588,348633,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-06-18,621674,282709,350092,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-06-19,625844,285817,351962,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-06-20,628735,288195,352478,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-06-21,631446,290280,353164,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-06-22,636059,294650,353584,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-06-23,640729,299151,353895,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-06-24,646651,303939,355100,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-06-25,650411,307591,355277,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-06-26,653005,309871,356128,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-06-27,654649,311453,356209,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-06-28,659488,315768,357171,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-06-29,664859,320604,358168,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-06-30,670759,325891,359169,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-07-01,675014,328960,360364,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-07-02,679538,332650,361287,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-07-03,682731,335153,362262,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-07-04,685024,336800,362986,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-07-05,689924,340423,364277,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-07-06,692581,341765,365611,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-07-07,696858,344666,367086,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-07-08,700180,346739,368449,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-07-09,703928,349133,369854,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-07-10,705852,349961,371421,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-07-11,706857,350338,372052,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-07-12,709131,351395,373349,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-07-13,711973,352523,375090,,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
