date,people_vaccinated,people_fully_vaccinated,total_boosters,vaccine,total_vaccinations,location,source_url
2021-03-25,618518,327369,2,"Pfizer/BioNTech, Sinopharm/Beijing",945889,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-03-26,635143,332125,2,"Pfizer/BioNTech, Sinopharm/Beijing",967270,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-03-27,646441,335223,2,"Pfizer/BioNTech, Sinopharm/Beijing",981666,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-03-28,648533,335424,2,"Pfizer/BioNTech, Sinopharm/Beijing",983959,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-03-29,653440,348432,2,"Pfizer/BioNTech, Sinopharm/Beijing",1001874,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-03-30,658087,370384,2,"Pfizer/BioNTech, Sinopharm/Beijing",1028473,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-03-31,665713,387948,2,"Pfizer/BioNTech, Sinopharm/Beijing",1053663,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-04-01,668140,392248,2,"Pfizer/BioNTech, Sinopharm/Beijing",1060390,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-04-02,669280,395050,2,"Pfizer/BioNTech, Sinopharm/Beijing",1064332,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-04-03,671984,401245,2,"Pfizer/BioNTech, Sinopharm/Beijing",1073231,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-04-04,672261,402563,2,"Pfizer/BioNTech, Sinopharm/Beijing",1074826,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-04-05,678454,412909,2,"Pfizer/BioNTech, Sinopharm/Beijing",1091365,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-04-06,690222,431565,2,"Pfizer/BioNTech, Sinopharm/Beijing",1121789,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-04-07,704081,448572,3,"Pfizer/BioNTech, Sinopharm/Beijing",1152656,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-04-08,721081,477372,3,"Pfizer/BioNTech, Sinopharm/Beijing",1198456,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-04-09,737720,495862,3,"Pfizer/BioNTech, Sinopharm/Beijing",1233585,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-04-10,741905,504637,3,"Pfizer/BioNTech, Sinopharm/Beijing",1246545,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-04-11,741927,504714,3,"Pfizer/BioNTech, Sinopharm/Beijing",1246644,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-04-12,742831,517947,5,"Pfizer/BioNTech, Sinopharm/Beijing",1260783,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-04-13,744713,538062,5,"Pfizer/BioNTech, Sinopharm/Beijing",1282780,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-04-14,747438,558749,5,"Pfizer/BioNTech, Sinopharm/Beijing",1306192,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-04-15,749274,580281,5,"Pfizer/BioNTech, Sinopharm/Beijing",1329560,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-04-16,768974,602153,5,"Pfizer/BioNTech, Sinopharm/Beijing",1371132,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-04-17,798605,616746,5,"Pfizer/BioNTech, Sinopharm/Beijing",1415356,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-04-18,826530,619914,5,"Pfizer/BioNTech, Sinopharm/Beijing",1446449,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-04-19,833488,623931,5,"Pfizer/BioNTech, Sinopharm/Beijing",1457424,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-04-20,844750,629072,5,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",1473827,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-04-21,854564,639308,5,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",1493877,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-04-22,862780,641827,5,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",1504612,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-04-23,889184,644414,5,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",1533603,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-04-24,916863,646877,5,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",1563745,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-04-25,932420,647000,5,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",1579425,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-04-26,947786,651504,5,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",1599295,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-04-27,967490,662327,6,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",1629823,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-04-28,1007019,674143,7,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",1681169,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-04-29,1051744,687018,7,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",1738769,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-04-30,1132988,705269,7,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",1838264,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-05-01,1196020,708263,7,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",1904290,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-05-02,1243942,709342,7,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",1953291,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-05-03,1303181,714379,7,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",2017567,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-05-04,1326050,715895,7,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",2041952,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-05-05,1346510,720448,7,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",2066965,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-05-06,1385743,722509,7,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",2108259,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-05-07,1419247,737325,7,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",2156579,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-05-08,1480354,760062,7,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",2240423,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-05-09,1513592,785500,7,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",2299099,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-05-10,1561075,794521,7,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",2355603,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-05-11,1603860,807076,7,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",2410943,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-05-12,1661505,818451,7,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",2479963,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-05-13,1734926,826880,7,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",2561813,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-05-14,1822905,847812,7,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",2670724,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-05-15,1875884,869812,7,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",2745703,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-05-16,1899512,884336,7,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",2783855,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-05-17,1950644,892651,7,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",2843302,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-05-18,2010188,902542,7,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",2912737,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-05-19,2070541,922898,7,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",2993446,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-05-20,2140859,939321,7,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",3080187,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-05-21,2249940,992917,7,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",3242864,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-05-22,2329399,1045188,7,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",3374594,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-05-23,2374461,1087483,8,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",3461952,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-05-24,2444085,1139786,8,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",3583879,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-05-25,2521851,1163406,8,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",3685265,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-05-26,2605025,1176163,9,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",3781197,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-05-27,2695392,1203223,9,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",3898624,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-05-28,2820071,1231043,9,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",4051123,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-05-29,2895297,1287147,9,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",4182453,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-05-30,2929183,1318641,9,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",4247833,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-05-31,2998148,1361986,9,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",4360143,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-06-01,3073821,1399995,10,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",4473826,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-06-02,3152160,1436379,10,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",4588549,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-06-03,3190883,1463239,10,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",4654132,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-06-04,3207022,1484786,10,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",4691818,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-06-05,3214562,1498465,10,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",4713037,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-06-06,3216407,1498758,10,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",4715175,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-06-07,3224364,1522150,10,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",4746524,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-06-08,3325825,1638848,11,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",4964684,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-06-09,3440908,1731108,13,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",5172029,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-06-10,3565452,1837707,13,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",5403172,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-06-11,3656251,1972879,14,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",5629144,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-06-12,3731779,2061951,15,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",5793745,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-06-13,3769197,2108797,16,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",5878010,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-06-14,3805632,2187365,16,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",5993013,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-06-15,3847795,2276654,18,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",6124467,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-06-16,3886012,2353647,18,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",6239677,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-06-17,3926659,2454257,18,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",6380934,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-06-18,3962405,2593493,21,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",6555919,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-06-19,3985108,2685448,23,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",6670579,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-06-20,3991362,2712596,25,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",6703983,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-06-21,4035697,2781340,26,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",6817063,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-06-22,4082744,2876244,26,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",6959014,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-06-23,4123971,2963843,27,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",7087841,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-06-24,4168240,3005892,27,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",7174159,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-06-25,4260939,3040771,27,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",7301737,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-06-26,4330479,3053663,27,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",7384169,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-06-27,4377857,3057633,29,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",7435519,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-06-28,4420387,3071618,29,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",7492034,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-06-29,4451651,3141338,30,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",7593019,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-06-30,4535655,3239940,33,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",7775628,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-07-01,4635750,3341542,35,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",7977327,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-07-02,4752300,3432838,37,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",8185175,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-07-03,4876862,3505944,38,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",8382844,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-07-04,4976991,3541261,38,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",8518290,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-07-05,5128217,3578238,38,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",8706493,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-07-06,5300341,3620073,39,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",8920453,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-07-07,5437978,3654634,40,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",9092652,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-07-08,5553670,3698293,42,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",9252005,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-07-09,5676705,3739531,42,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",9416278,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-07-10,5918221,3766606,45,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",9684872,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-07-11,6088062,3777564,47,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",9865673,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-07-12,6172879,3800396,47,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",9973322,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-07-13,6259705,3825951,48,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",10085704,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-07-14,6379278,3856105,48,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",10235431,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-07-15,6521638,3914237,48,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",10435923,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-07-16,6655739,4009408,50,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",10665197,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-07-17,6883488,4090852,54,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",10974394,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-07-18,7015310,4137780,54,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",11153144,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-07-19,7073086,4178616,54,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",11251756,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-07-20,7144758,4210466,54,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",11355278,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-07-21,7231642,4283173,54,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",11514869,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-07-22,7342309,4366829,58,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",11709196,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-07-23,7489819,4467594,59,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",11957472,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-07-24,7766132,4579220,61,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",12345413,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-07-25,7973123,4680248,64,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",12653435,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-07-26,8025718,4705743,64,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",12731525,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-07-27,8066749,4919506,68,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",12986323,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-07-28,8080884,5021318,70,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",13102272,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
